window,overbought,oversold,sharpe_ratio,annual_return,max_drawdown,calmar_ratio
1,10,90,0.47,0.04,0.2627384896946774,0.15
1,15,85,0.47,0.04,0.2627384896946774,0.15
1,20,80,0.47,0.04,0.2627384896946774,0.15
1,25,75,0.47,0.04,0.2627384896946774,0.15
1,30,70,0.47,0.04,0.2627384896946774,0.15
1,35,65,0.47,0.04,0.2627384896946774,0.15
1,40,60,0.47,0.04,0.2627384896946774,0.15
1,45,55,0.47,0.04,0.2627384896946774,0.15
1,50,50,0.47,0.04,0.2627384896946774,0.15
1,55,45,0.47,0.04,0.2627384896946774,0.15
1,60,40,0.47,0.04,0.2627384896946774,0.15
1,65,35,0.47,0.04,0.2627384896946774,0.15
1,70,30,0.47,0.04,0.2627384896946774,0.15
1,75,25,0.47,0.04,0.2627384896946774,0.15
1,80,20,0.47,0.04,0.2627384896946774,0.15
1,85,15,0.47,0.04,0.2627384896946774,0.15
1,90,10,0.47,0.04,0.2627384896946774,0.15
1,95,5,0.47,0.04,0.2627384896946774,0.15
2,10,90,0.32,0.02,0.2911932577105969,0.07
2,15,85,0.3,0.02,0.33653908015540135,0.06
2,20,80,0.31,0.02,0.3629826600370798,0.06
2,25,75,0.34,0.03,0.347708951879407,0.09
2,30,70,0.34,0.03,0.36219965555949574,0.08
2,35,65,0.37,0.03,0.38010049943585833,0.08
2,40,60,0.37,0.03,0.3802746718712644,0.08
2,45,55,0.36,0.03,0.41216641574305446,0.07
2,50,50,0.31,0.03,0.4369059884778499,0.07
2,55,45,0.34,0.03,0.45461369046730615,0.07
2,60,40,0.33,0.03,0.5712061437460592,0.05
2,65,35,0.31,0.03,0.6486304816097888,0.05
2,70,30,0.31,0.03,0.7364534849673019,0.04
2,75,25,0.33,0.03,0.7169625705728542,0.04
2,80,20,0.32,0.03,0.6426480358615323,0.05
2,85,15,0.31,0.03,0.5762961663277055,0.05
2,90,10,0.31,0.03,0.6117572511749514,0.05
2,95,5,0.31,0.03,0.6475398873468592,0.05
3,10,90,0.19,0.01,0.42884330698835615,0.02
3,15,85,0.18,0.01,0.43499157342286354,0.02
3,20,80,0.25,0.02,0.3591108937807975,0.06
3,25,75,0.23,0.02,0.5064428689310069,0.04
3,30,70,0.26,0.02,0.48255509602030966,0.04
3,35,65,0.26,0.02,0.4776190572004835,0.04
3,40,60,0.3,0.02,0.4992966900502108,0.04
3,45,55,0.26,0.02,0.5605408501349683,0.04
3,50,50,0.31,0.03,0.49713286370498766,0.06
3,55,45,0.34,0.03,0.41879235713661855,0.07
3,60,40,0.36,0.03,0.47124119587687874,0.06
3,65,35,0.34,0.03,0.47204779397378394,0.06
3,70,30,0.32,0.03,0.5145228206239245,0.06
3,75,25,0.32,0.03,0.6575987311518063,0.05
3,80,20,0.28,0.03,0.9134880349427776,0.03
3,85,15,0.27,0.03,0.7720652025465289,0.04
3,90,10,0.24,0.03,0.7823753846920063,0.04
3,95,5,0.21,0.02,0.9229605585331953,0.02
4,10,90,0.25,0.01,0.35547133197045544,0.03
4,15,85,0.31,0.02,0.35499992871762764,0.06
4,20,80,0.21,0.01,0.39196158775083045,0.03
4,25,75,0.24,0.02,0.4121272315588589,0.05
4,30,70,0.23,0.02,0.5651571151375637,0.04
4,35,65,0.24,0.02,0.6447381989666733,0.03
4,40,60,0.26,0.02,0.6917174939988678,0.03
4,45,55,0.31,0.02,0.5904669406747088,0.03
4,50,50,0.29,0.02,0.5551518169725319,0.04
4,55,45,0.3,0.03,0.5096380755414915,0.06
4,60,40,0.28,0.03,0.5962663994392896,0.05
4,65,35,0.26,0.02,0.6693090674907474,0.03
4,70,30,0.28,0.03,0.49629470835173484,0.06
4,75,25,0.27,0.03,0.5604379739850682,0.05
4,80,20,0.32,0.03,0.5713096031579328,0.05
4,85,15,0.29,0.03,0.5655222604774406,0.05
4,90,10,0.24,0.03,0.7573141675686481,0.04
4,95,5,0.22,0.03,0.8629454822427634,0.03
5,10,90,0.21,0.01,0.2759228925899444,0.04
5,15,85,0.24,0.01,0.26001155923131325,0.04
5,20,80,0.21,0.01,0.38314425220189374,0.03
5,25,75,0.19,0.01,0.4788991471816335,0.02
5,30,70,0.2,0.01,0.5624909728895732,0.02
5,35,65,0.24,0.02,0.6060080258054936,0.03
5,40,60,0.23,0.02,0.6381989526793356,0.03
5,45,55,0.23,0.02,0.5474296116543865,0.04
5,50,50,0.21,0.02,0.7148882895051385,0.03
5,55,45,0.17,0.02,0.9409213999842706,0.02
5,60,40,0.21,0.02,0.8005939191076941,0.02
5,65,35,0.2,0.02,0.9627472565996019,0.02
5,70,30,0.23,0.02,0.6980514703881942,0.03
5,75,25,0.25,0.03,0.6515897294737234,0.05
5,80,20,0.26,0.03,0.6577361231776353,0.05
5,85,15,0.29,0.03,0.679234532192166,0.04
5,90,10,0.24,0.03,0.7945677495539063,0.04
5,95,5,0.19,0.02,1.1153947718191963,0.02
6,10,90,0.15,0.01,0.22227126070290015,0.04
6,15,85,0.22,0.01,0.24284103751326724,0.04
6,20,80,0.3,0.02,0.24141622511157723,0.08
6,25,75,0.32,0.02,0.22481824122208616,0.09
6,30,70,0.32,0.02,0.23393372581375071,0.09
6,35,65,0.34,0.02,0.2913941805836513,0.07
6,40,60,0.32,0.02,0.47630230052785594,0.04
6,45,55,0.3,0.02,0.44229902630408313,0.05
6,50,50,0.24,0.02,0.6080349546438119,0.03
6,55,45,0.24,0.02,1.0560230967391724,0.02
6,60,40,0.18,0.02,1.0979947450841827,0.02
6,65,35,0.22,0.02,0.7959651634674904,0.03
6,70,30,0.23,0.02,0.7560739101594558,0.03
6,75,25,0.28,0.03,0.6362648674089431,0.05
6,80,20,0.25,0.03,0.676407210753907,0.04
6,85,15,0.26,0.03,0.8030974660695542,0.04
6,90,10,0.24,0.03,0.9152707512010889,0.03
6,95,5,0.21,0.03,1.21348887071087,0.02
7,10,90,0.19,0.01,0.24818227057125242,0.04
7,15,85,0.24,0.01,0.24994010213634477,0.04
7,20,80,0.4,0.02,0.20738170239106202,0.1
7,25,75,0.34,0.02,0.30400562042835244,0.07
7,30,70,0.28,0.02,0.33649776633067874,0.06
7,35,65,0.33,0.02,0.2586321420928933,0.08
7,40,60,0.27,0.02,0.49037669129267847,0.04
7,45,55,0.27,0.02,0.46657771618923916,0.04
7,50,50,0.28,0.02,0.4526796398163897,0.04
7,55,45,0.22,0.02,0.7240922277209414,0.03
7,60,40,0.16,0.02,0.955072049306585,0.02
7,65,35,0.2,0.02,0.8628995208271892,0.02
7,70,30,0.23,0.02,0.6613931203917596,0.03
7,75,25,0.23,0.03,0.7690669112340699,0.04
7,80,20,0.24,0.03,0.6977793966355179,0.04
7,85,15,0.23,0.03,0.8650090026386161,0.03
7,90,10,0.23,0.03,1.023612947081567,0.03
7,95,5,0.21,0.03,1.1445571346585117,0.03
8,10,90,0.19,0.0,0.17479544661568136,0.0
8,15,85,0.29,0.01,0.1478549751472361,0.07
8,20,80,0.33,0.01,0.164230990410955,0.06
8,25,75,0.32,0.02,0.19928700426457735,0.1
8,30,70,0.3,0.02,0.25408864653644514,0.08
8,35,65,0.29,0.02,0.408181504428492,0.05
8,40,60,0.29,0.02,0.3982110635080074,0.05
8,45,55,0.31,0.02,0.5216963006345757,0.04
8,50,50,0.3,0.03,0.5374927937893184,0.06
8,55,45,0.28,0.03,0.5350068423248733,0.06
8,60,40,0.22,0.02,0.7850684936951641,0.03
8,65,35,0.23,0.02,0.705182881892948,0.03
8,70,30,0.23,0.02,0.5832421934439329,0.03
8,75,25,0.24,0.03,0.7138966388170558,0.04
8,80,20,0.24,0.03,0.8413453566976501,0.04
8,85,15,0.23,0.03,0.9693444466940337,0.03
8,90,10,0.22,0.03,1.0504392842026444,0.03
8,95,5,0.2,0.02,1.2575102237694127,0.02
9,10,90,0.23,0.01,0.13526831498991942,0.07
9,15,85,0.19,0.01,0.13721268844920775,0.07
9,20,80,0.22,0.01,0.16857401869126687,0.06
9,25,75,0.29,0.01,0.22574517974695474,0.04
9,30,70,0.3,0.02,0.23815612609856807,0.08
9,35,65,0.34,0.02,0.30547966138061566,0.07
9,40,60,0.31,0.02,0.4306548273953028,0.05
9,45,55,0.37,0.03,0.3930418126690347,0.08
9,50,50,0.32,0.03,0.4989860645160129,0.06
9,55,45,0.3,0.03,0.6328503377276848,0.05
9,60,40,0.3,0.03,0.5276638255036623,0.06
9,65,35,0.26,0.03,0.5512601093878862,0.05
9,70,30,0.22,0.02,0.6621553154286166,0.03
9,75,25,0.23,0.03,0.8256891507649038,0.04
9,80,20,0.2,0.02,1.050518341306582,0.02
