window,threshold,sharpe_ratio,annual_return,max_drawdown,calmar_ratio
10,0.0,1.21,0.02,0.5789314866563765,0.03
10,0.25,1.3,0.02,0.467733737862579,0.04
10,0.5,1.48,0.02,0.5673477959880577,0.04
10,0.75,1.51,0.02,0.5082181561488414,0.04
10,1.0,1.85,0.02,0.35857553402035935,0.06
10,1.25,2.13,0.02,0.28328758774653273,0.07
10,1.5,1.87,0.02,0.26774084028014844,0.07
10,1.75,2.12,0.02,0.17874122985926122,0.11
10,2.0,1.62,0.01,0.19752823026772015,0.05
10,2.25,1.28,0.01,0.15578685538169323,0.06
20,0.0,1.81,0.03,0.4169693670724721,0.07
20,0.25,1.7,0.03,0.396458661843921,0.08
20,0.5,1.77,0.03,0.3385423879342542,0.09
20,0.75,1.89,0.03,0.3135635508601229,0.1
20,1.0,1.77,0.02,0.2896368981925739,0.07
20,1.25,2.27,0.03,0.17097173342865446,0.18
20,1.5,2.01,0.02,0.18170851043982905,0.11
20,1.75,1.87,0.02,0.13722585366123097,0.15
20,2.0,2.14,0.02,0.11752409068230119,0.17
20,2.25,2.23,0.01,0.08007957782727237,0.12
30,0.0,1.44,0.02,0.527068318162484,0.04
30,0.25,1.44,0.02,0.3938600066433595,0.05
30,0.5,1.76,0.03,0.36806653462688677,0.08
30,0.75,1.52,0.02,0.3484527559848585,0.06
30,1.0,1.78,0.02,0.3011848694810966,0.07
30,1.25,1.45,0.02,0.31198841592967796,0.06
30,1.5,2.08,0.02,0.16437377483208415,0.12
30,1.75,2.04,0.02,0.15036601417660522,0.13
30,2.0,2.04,0.01,0.16671744609479622,0.06
30,2.25,2.07,0.01,0.08399438780227153,0.12
40,0.0,1.56,0.03,0.5572116844256125,0.05
40,0.25,1.39,0.02,0.4602971367767361,0.04
40,0.5,1.25,0.02,0.3971230133595991,0.05
40,0.75,1.64,0.02,0.3276648516500804,0.06
40,1.0,1.41,0.02,0.30857834841193543,0.06
40,1.25,2.03,0.02,0.21965178016740827,0.09
40,1.5,2.13,0.02,0.21074434327847547,0.09
40,1.75,2.09,0.02,0.14061817057660542,0.14
40,2.0,2.47,0.02,0.12269298857569488,0.16
40,2.25,1.72,0.01,0.11837240635552537,0.08
50,0.0,1.65,0.03,0.5058021469923326,0.06
50,0.25,1.75,0.03,0.3424398993032298,0.09
50,0.5,1.63,0.02,0.3724789269657516,0.05
50,0.75,1.43,0.02,0.35562451639996406,0.06
50,1.0,1.74,0.02,0.30305889457571333,0.07
50,1.25,1.8,0.02,0.28798937270948266,0.07
50,1.5,2.07,0.02,0.21481907950758994,0.09
50,1.75,1.88,0.02,0.16508653359474912,0.12
50,2.0,2.5,0.02,0.13137070041791987,0.15
50,2.25,2.13,0.01,0.11810470477903257,0.08
60,0.0,1.78,0.03,0.444251204392172,0.07
60,0.25,1.74,0.03,0.38733807386961994,0.08
60,0.5,1.77,0.03,0.3333648493126846,0.09
60,0.75,1.38,0.02,0.3365803348041638,0.06
60,1.0,1.67,0.02,0.315098110140148,0.06
60,1.25,2.0,0.02,0.2789433630132605,0.07
60,1.5,2.01,0.02,0.228352444674654,0.09
60,1.75,2.2,0.02,0.1873662548037227,0.11
60,2.0,2.38,0.02,0.1189245358583364,0.17
60,2.25,2.39,0.02,0.1281582008287494,0.16
70,0.0,1.75,0.03,0.4736920320347937,0.06
70,0.25,1.7,0.03,0.35775729511701737,0.08
70,0.5,1.6,0.02,0.3155470945641994,0.06
70,0.75,1.48,0.02,0.34531722992196623,0.06
70,1.0,1.43,0.02,0.3486007631772434,0.06
70,1.25,1.73,0.02,0.27318370467968545,0.07
70,1.5,2.26,0.02,0.21088318398804362,0.09
70,1.75,2.02,0.02,0.16532271099815543,0.12
70,2.0,2.22,0.02,0.13750439129835168,0.15
70,2.25,2.34,0.02,0.13289774759512663,0.15
80,0.0,1.68,0.03,0.43635524368534195,0.07
80,0.25,1.66,0.03,0.5302344981823555,0.06
80,0.5,1.54,0.02,0.4042743987415427,0.05
80,0.75,1.71,0.02,0.2798865312244263,0.07
80,1.0,1.44,0.02,0.27389912193928345,0.07
80,1.25,1.59,0.02,0.2776875066856139,0.07
80,1.5,2.15,0.02,0.22150656116996537,0.09
80,1.75,2.37,0.02,0.15075197835810106,0.13
80,2.0,2.09,0.02,0.1281520578881299,0.16
80,2.25,2.28,0.02,0.11677755349387142,0.17
90,0.0,1.7,0.03,0.4146236976743567,0.07
90,0.25,1.59,0.03,0.4292830954942304,0.07
90,0.5,1.83,0.03,0.35989985362473287,0.08
90,0.75,1.77,0.03,0.31136804557430175,0.1
90,1.0,1.29,0.02,0.3048161017258737,0.07
90,1.25,1.28,0.02,0.23918362521938086,0.08
90,1.5,2.01,0.02,0.25425879197813916,0.08
90,1.75,2.13,0.02,0.1522088351422266,0.13
90,2.0,2.2,0.02,0.11241606250631253,0.18
90,2.25,2.26,0.02,0.14200389475657504,0.14
