,close,signal,pnl,cumulative_return
0,27427.48,0,0.00,1.00
1,27553.23,0,0.00,1.00
2,27436.64,0,0.00,1.00
3,27270.79,0,0.00,1.00
4,27485.79,0,0.00,1.00
5,27645.89,0,0.00,1.00
6,27568.21,0,0.00,1.00
7,27469.84,0,0.00,1.00
8,27444.46,0,0.00,1.00
9,27457.39,0,0.00,1.00
10,27436.71,0,0.00,1.00
11,27313.36,0,0.00,1.00
12,27815.00,0,0.00,1.00
13,28094.42,0,0.00,1.00
14,27932.60,0,0.00,1.00
15,28124.01,0,0.00,1.00
16,27908.06,0,0.00,1.00
17,27424.71,0,0.00,1.00
18,27377.00,0,0.00,1.00
19,27369.34,0,0.00,1.00
20,26995.44,0,0.00,1.00
21,26574.53,0,0.00,1.00
22,26307.16,0,0.00,1.00
23,25771.59,0,0.00,1.00
24,25341.40,0,0.00,1.00
25,25520.05,0,0.00,1.00
26,25389.99,0,0.00,1.00
27,25234.44,0,0.00,1.00
28,25358.14,0,0.00,1.00
29,24811.59,0,0.00,1.00
30,24182.60,0,0.00,1.00
31,24052.83,0,0.00,1.00
32,23990.63,0,0.00,1.00
33,23729.43,0,0.00,1.00
34,23683.31,0,0.00,1.00
35,23651.94,0,0.00,1.00
36,22804.62,0,0.00,1.00
37,23271.54,0,0.00,1.00
38,23733.48,0,0.00,1.00
39,23538.33,0,0.00,1.00
40,23375.01,0,0.00,1.00
41,23218.22,0,0.00,1.00
42,23245.83,0,0.00,1.00
43,23061.45,0,0.00,1.00
44,22587.90,0,0.00,1.00
45,22487.41,0,0.00,1.00
46,21759.51,0,0.00,1.00
47,20855.00,0,0.00,1.00
48,21548.74,0,0.00,1.00
49,22127.91,0,0.00,1.00
50,21977.83,0,0.00,1.00
51,22747.24,0,0.00,1.00
52,22633.82,0,0.00,1.00
53,22877.52,0,0.00,1.00
54,22609.91,0,0.00,1.00
55,22298.92,0,0.00,1.00
56,22381.28,0,0.00,1.00
57,21994.56,0,0.00,1.00
58,22150.85,0,0.00,1.00
59,22411.33,0,0.00,1.00
60,22513.72,0,0.00,1.00
61,22680.38,0,0.00,1.00
62,22484.69,0,0.00,1.00
63,22361.56,0,0.00,1.00
64,22297.16,0,0.00,1.00
65,22196.28,0,0.00,1.00
66,21989.87,0,0.00,1.00
67,21484.73,0,0.00,1.00
68,21598.93,0,0.00,1.00
69,22136.41,0,0.00,1.00
70,21808.32,0,0.00,1.00
71,22163.99,0,0.00,1.00
72,21985.86,0,0.00,1.00
73,21455.80,0,0.00,1.00
74,21148.79,0,0.00,1.00
75,21226.31,0,0.00,1.00
76,21336.00,0,0.00,1.00
77,20722.92,0,0.00,1.00
78,20265.06,0,0.00,1.00
79,20238.04,0,0.00,1.00
80,20573.58,0,0.00,1.00
81,21177.03,0,0.00,1.00
82,21197.61,0,0.00,1.00
83,21561.50,0,0.00,1.00
84,21215.09,0,0.00,1.00
85,21419.10,0,0.00,1.00
86,20723.00,0,0.00,1.00
87,21117.26,0,0.00,1.00
88,21540.07,0,0.00,1.00
89,21632.04,0,0.00,1.00
90,21681.79,0,0.00,1.00
91,22214.02,0,0.00,1.00
92,22474.41,0,0.00,1.00
93,22583.72,0,0.00,1.00
94,22680.00,0,0.00,1.00
95,22368.42,0,0.00,1.00
96,22454.07,0,0.00,1.00
97,22211.62,0,0.00,1.00
98,22093.97,0,0.00,1.00
