timestamp,price,signal,shares,cash,equity,position,trade_type,trade_pnl
0,27427.48,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
1,27553.23,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
2,27436.64,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
3,27270.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
4,27485.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
5,27645.89,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
6,27568.21,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
7,27469.84,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
8,27444.46,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
9,27457.39,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
10,27436.71,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
11,27313.36,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
12,27815.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
13,28094.42,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
14,27932.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
15,28124.01,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
16,27908.06,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
17,27424.71,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
18,27377.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
19,27369.34,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
20,26995.44,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
21,26574.53,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
22,26307.16,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
23,25771.59,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
24,25341.4,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
25,25520.05,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
26,25389.99,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
27,25234.44,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
28,25358.14,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
29,24811.59,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
30,24182.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
31,24052.83,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
32,23990.63,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
33,23729.43,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
34,23683.31,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
35,23651.94,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
36,22804.62,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
37,23271.54,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
38,23733.48,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
39,23538.33,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
40,23375.01,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
41,23218.22,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
42,23245.83,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
43,23061.45,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
44,22587.9,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
45,22487.41,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
46,21759.51,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
47,20855.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
48,21548.74,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
49,22127.91,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
50,21977.83,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
51,22747.24,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
52,22633.82,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
53,22877.52,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
54,22609.91,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
55,22298.92,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
56,22381.28,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
57,21994.56,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
58,22150.85,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
59,22411.33,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
60,22513.72,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
61,22680.38,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
62,22484.69,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
63,22361.56,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
64,22297.16,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
65,22196.28,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
66,21989.87,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
67,21484.73,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
68,21598.93,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
69,22136.41,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
70,21808.32,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
71,22163.99,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
72,21985.86,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
73,21455.8,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
74,21148.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
75,21226.31,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
76,21336.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
77,20722.92,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
78,20265.06,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
79,20238.04,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
80,20573.58,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
81,21177.03,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
82,21197.61,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
83,21561.5,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
84,21215.09,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
85,21419.1,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
86,20723.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
87,21117.26,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
88,21540.07,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
89,21632.04,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
90,21681.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
91,22214.02,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
92,22474.41,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
93,22583.72,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
94,22680.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
95,22368.42,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
96,22454.07,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
97,22211.62,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
98,22093.97,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
99,21941.97,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
100,21797.51,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
101,21764.17,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
102,21786.97,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
103,21273.85,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
104,21243.04,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
105,21044.55,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
106,21144.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
107,21022.04,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
108,20924.33,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
109,21074.77,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
110,21186.1,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
111,21068.65,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
112,21029.37,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
113,20875.48,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
114,20712.58,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
115,20685.5,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
116,20364.99,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
117,20401.31,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
118,20363.63,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
119,20880.8,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
120,20580.3,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
121,20383.38,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
122,20536.92,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
123,20807.76,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
124,20898.02,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
125,21100.64,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
126,21069.39,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
127,20972.66,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
128,21119.5,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
129,20972.04,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
130,20654.49,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
131,20801.35,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
132,20550.71,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
133,20663.7,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
134,20571.21,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
135,20592.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
136,20517.62,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
137,20515.59,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
138,20652.65,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
